IDADE,TEMPO_NA_ONG,INDE_ANTERIOR,IAA_ANTERIOR,IEG_ANTERIOR,IPS_ANTERIOR,IDA_ANTERIOR,IPP_ANTERIOR,IPV_ANTERIOR,IAN_ANTERIOR,ALUNO_NOVO,GENERO,TURMA,INSTITUICAO_ENSINO,FASE,RISCO_DEFASAGEM,ANO_REFERENCIA,prediction
10.0,1,9.1342,10.0,10.0,6.27,9.1,8.75,9.06,10.0,0,Feminino,2B,Pública,2B,0,2024,0
11.0,1,7.788875,0.0,10.0,6.27,9.8,9.21875,8.95,5.0,0,Feminino,1B,Pública,1B,1,2024,1
10.0,1,8.215158333,8.5,8.9,7.52,7.5,7.65625,7.836666667,10.0,0,Masculino,1A,Pública,1A,1,2024,0
11.0,1,7.748866667,9.5,9.7,7.52,6.0,7.5,8.333333333,5.0,0,Feminino,2B,Pública,2B,0,2024,1
12.0,1,6.415708333,0.0,9.2,7.52,5.0,7.34375,7.946666667,5.0,0,Masculino,1B,Pública,1B,1,2024,1
10.0,1,7.058533333,10.0,6.3,3.77,5.4,7.5,8.006666667,10.0,0,Feminino,1C,Pública,1C,1,2024,1
15.0,3,8.0239,8.3,9.2,5.0,7.1,8.125,8.09,10.0,0,Feminino,5A,Privada - Programa de Apadrinhamento,5A,0,2024,0
12.0,1,7.4027,8.5,9.7,3.77,6.9,6.875,8.39,5.0,0,Masculino,2D,Pública,2D,0,2024,1
11.0,1,7.0602,8.0,8.8,7.52,5.9,6.666666667,7.006666667,5.0,0,Masculino,1C,Pública,1C,1,2024,1
11.0,1,7.434033333,8.5,9.5,7.52,6.0,7.291666667,7.563333333,5.0,0,Masculino,1C,Pública,1C,1,2024,1
11.0,1,7.9642,7.5,9.0,7.52,8.3,8.333333333,8.393333333,5.0,0,Masculino,2B,Pública,2B,0,2024,1
10.0,1,6.888833333,0.0,8.3,7.52,5.8,7.708333333,7.78,10.0,0,Masculino,1C,Pública,1C,1,2024,0
12.0,1,6.970583333,0.0,9.6,3.77,8.0,9.0625,8.336666667,5.0,0,Feminino,2H,Pública,2H,0,2024,1
11.0,1,7.736825,8.0,9.3,7.52,6.5,8.90625,8.17,5.0,0,Feminino,2I,Pública,2I,0,2024,1
13.0,1,7.686033333,8.0,9.9,7.52,6.2,8.125,8.056666667,5.0,0,Masculino,2I,Pública,2I,1,2024,1
12.0,1,7.81545,10.0,9.3,7.52,6.6,7.8125,8.06,5.0,0,Masculino,2I,Pública,2I,1,2024,1
11.0,1,6.5447,10.0,7.9,6.27,2.5,7.708333333,7.833333333,5.0,0,Masculino,1H,Pública,1H,1,2024,1
11.0,1,7.629533333,8.0,9.7,7.52,6.1,7.5,8.336666667,5.0,0,Feminino,2G,Pública,2G,0,2024,1
11.0,1,7.811366667,8.5,9.5,3.77,8.2,8.541666667,8.5,5.0,0,Feminino,2A,Privada,2A,0,2024,1
11.0,1,7.443366667,10.0,7.7,7.52,6.3,8.125,7.943333333,5.0,0,Masculino,1J,Pública,1J,1,2024,1
10.0,1,6.960333333,0.0,9.0,7.52,5.3,7.916666667,7.833333333,10.0,0,Masculino,1J,Pública,1J,1,2024,0
13.0,1,7.459533333,8.5,8.6,7.52,6.6,7.5,7.836666667,5.0,0,Masculino,2G,Pública,2G,1,2024,1
12.0,1,5.9765,0.0,7.2,7.52,5.5,7.291666667,7.276666667,5.0,0,Masculino,1J,Pública,1J,1,2024,1
10.0,1,8.551741667,8.5,9.6,7.52,8.1,7.96875,8.113333333,10.0,0,Masculino,1L,Pública,1L,1,2024,0
10.0,1,8.4827,10.0,10.0,7.52,6.3,8.125,8.34,10.0,0,Feminino,1L,Pública,1L,1,2024,0
10.0,1,7.356533333,10.0,8.7,3.14,5.4,7.083333333,7.62,10.0,0,Feminino,1K,Pública,1K,1,2024,1
11.0,1,7.763741667,10.0,9.8,2.52,7.6,7.96875,8.673333333,5.0,0,Masculino,2M,Pública,2M,0,2024,1
16.0,3,7.769658333,7.9,9.1,5.0,7.3,7.03125,7.5075,10.0,0,Feminino,6A,Privada - Programa de Apadrinhamento,6A,0,2024,0
12.0,1,7.095741667,9.0,8.6,3.14,5.7,7.96875,8.673333333,5.0,0,Masculino,2M,Pública,2M,0,2024,1
11.0,1,8.196533333,9.5,9.7,3.14,9.3,8.75,8.836666667,5.0,0,Masculino,2M,Pública,2M,0,2024,0
10.0,1,7.448841667,7.4,7.7,3.77,6.2,8.59375,8.503333333,10.0,0,Masculino,1L,Pública,1L,1,2024,0
12.0,1,7.490825,9.5,9.5,7.52,5.9,6.40625,7.89,5.0,0,Masculino,2N,Pública,2N,1,2024,1
11.0,1,8.4777,8.5,9.8,7.52,8.6,9.375,8.84,5.0,0,Masculino,2N,Pública,2N,0,2024,1
11.0,1,8.03395,8.5,9.6,7.52,7.0,8.4375,8.84,5.0,0,Feminino,2N,Pública,2N,0,2024,0
11.0,1,7.262616667,8.5,6.6,7.52,6.2,8.4375,8.783333333,5.0,0,Feminino,2L,Pública,2L,0,2024,1
11.0,1,6.541458333,0.0,7.9,7.52,5.4,8.28125,9.006666667,5.0,0,Masculino,1K,Pública,1K,1,2024,1
11.0,1,8.472533333,8.5,9.3,6.89,9.0,9.166666667,9.283333333,5.0,0,Masculino,2R,Pública,2R,0,2024,1
12.0,1,7.590033333,9.0,7.8,7.52,7.1,8.125,8.226666667,5.0,0,Masculino,2K,Pública,2K,0,2024,1
16.0,3,6.845208333,0.0,8.5,5.0,7.0,7.34375,7.5875,10.0,0,Feminino,5D,Pública,5D,1,2024,1
12.0,1,6.939033333,9.0,7.8,3.14,5.8,7.708333333,8.67,5.0,0,Masculino,1P,Pública,1P,1,2024,1
12.0,1,6.414033333,9.0,8.6,7.52,3.5,5.625,6.396666667,5.0,0,Masculino,2R,Pública,2R,1,2024,1
12.0,1,8.0152,9.0,8.6,5.0,6.7,8.125,8.7125,10.0,0,Masculino,3B,Pública,3B,0,2024,0
13.0,2,6.384333333,0.0,8.8,2.52,6.2,8.333333333,9.045,5.0,0,Feminino,3A,Pública,3A,0,2024,1
13.0,1,6.591333333,0.0,9.6,5.0,5.5,7.708333333,9.0025,5.0,0,Feminino,2A,Pública,2A,1,2024,1
13.0,3,7.901033333,9.0,9.7,2.52,8.5,8.333333333,8.8775,5.0,0,Feminino,3A,Pública,3A,0,2024,1
12.0,1,7.2115,0.0,9.7,2.52,7.3,8.75,8.4225,10.0,0,Masculino,3D,Pública,3D,0,2024,0
13.0,1,6.916533333,9.0,8.1,2.52,7.6,7.083333333,7.13,5.0,0,Masculino,3B,Pública,3B,0,2024,1
15.0,1,7.666033333,10.0,10.0,2.52,6.5,8.958333333,8.59,5.0,0,Feminino,4C,Privada - Programa de Apadrinhamento,4C,0,2024,0
13.0,1,7.1617,9.5,9.5,2.52,5.0,8.75,8.4225,5.0,0,Feminino,2A,Pública,2A,1,2024,1
12.0,1,7.9948,8.4,10.0,2.52,6.8,8.75,8.38,10.0,0,Feminino,3A,Pública,3A,0,2024,0
13.0,1,7.2067,10.0,9.5,2.52,5.4,8.75,8.0475,5.0,0,Feminino,3B,Pública,3B,0,2024,1
12.0,1,7.9947,9.0,9.5,2.52,7.0,8.75,8.3375,10.0,0,Feminino,3D,Pública,3D,0,2024,0
14.0,1,7.844033333,9.0,9.6,2.52,9.0,8.958333333,7.88,5.0,0,Masculino,3D,Pública,3D,0,2024,1
12.0,1,8.197533333,7.0,9.3,2.52,9.2,8.958333333,8.2975,10.0,0,Masculino,3D,Pública,3D,0,2024,0
12.0,1,8.1779,7.8,9.5,2.52,8.5,8.75,8.3375,10.0,0,Feminino,3D,Pública,3D,0,2024,0
14.0,1,6.238,0.0,9.8,2.52,5.3,8.75,8.005,5.0,0,Masculino,3D,Pública,3D,0,2024,1
11.0,1,8.615533333,9.5,9.9,2.52,9.6,8.958333333,8.0875,10.0,0,Feminino,3B,Pública,3B,0,2024,0
15.0,1,6.9547,9.5,8.6,5.0,5.4,8.125,6.96,5.0,0,Masculino,3C,Pública,3C,1,2024,1
14.0,1,7.2787,9.5,9.5,2.52,6.4,8.125,7.92,5.0,0,Feminino,3D,Pública,3D,0,2024,1
14.0,1,7.113533333,9.0,9.6,2.52,5.2,8.333333333,8.34,5.0,0,Feminino,3G,Pública,3G,0,2024,1
16.0,3,8.0879,8.3,8.6,5.0,7.5,8.75,8.2975,10.0,0,Masculino,5A,Privada - Programa de Apadrinhamento,5A,0,2024,0
12.0,1,8.261033333,10.0,9.2,5.0,7.1,8.541666667,8.283333333,10.0,0,Masculino,3G,Pública,3G,0,2024,0
12.0,1,8.123033333,9.5,9.5,5.0,7.5,7.708333333,7.56,10.0,0,Masculino,3H,Pública,3H,0,2024,0
11.0,1,7.574866667,9.0,8.7,5.0,5.0,8.333333333,8.006666667,10.0,0,Masculino,2H,Pública,2H,0,2024,0
13.0,1,7.1642,8.5,9.3,5.0,5.1,8.333333333,8.003333333,5.0,0,Masculino,3F,Pública,3F,0,2024,1
13.0,1,7.9327,9.0,9.4,5.0,7.5,8.958333333,8.783333333,5.0,0,Feminino,3G,Pública,3G,0,2024,0
13.0,1,6.310833333,0.0,9.3,5.0,4.7,8.541666667,8.283333333,5.0,0,Masculino,3F,Pública,3F,0,2024,1
15.0,3,7.566458333,7.5,8.7,5.0,6.0,7.65625,8.0875,10.0,0,Feminino,5B,Privada - Programa de Apadrinhamento,5B,0,2024,0
12.0,1,6.559166667,0.0,8.9,2.52,5.4,8.125,8.173333333,10.0,0,Feminino,3F,Pública,3F,0,2024,0
13.0,1,7.088866667,9.5,7.9,2.52,6.3,8.333333333,8.616666667,5.0,0,Masculino,3I,Pública,3I,0,2024,1
12.0,1,7.5667,8.5,9.8,2.52,4.9,8.125,8.56,10.0,0,Feminino,3M,Pública,3M,0,2024,0
12.0,1,6.474,0.0,8.3,7.52,4.0,7.5,7.56,10.0,0,Feminino,2M,Pública,2M,0,2024,1
15.0,1,6.956533333,9.5,9.2,5.0,4.9,7.083333333,7.39,5.0,0,Masculino,3M,Pública,3M,1,2024,1
12.0,1,8.382366667,9.0,9.6,7.52,7.3,7.708333333,7.946666667,10.0,0,Feminino,3K,Pública,3K,0,2024,0
14.0,1,7.163833333,5.3,8.8,7.52,6.0,7.708333333,8.28,5.0,0,Feminino,3M,Pública,3M,0,2024,1
14.0,1,7.192,7.3,9.7,3.77,5.9,7.708333333,8.453333333,5.0,0,Feminino,3M,Pública,3M,1,2024,1
17.0,3,7.141308333,6.7,8.1,5.0,7.4,7.96875,7.9225,5.0,0,Feminino,6A,Privada - Programa de Apadrinhamento,6A,0,2024,1
12.0,1,8.049,0.0,9.9,6.26,8.0,8.75,9.84,10.0,0,Masculino,3K,Pública,3K,0,2024,0
12.0,1,7.3715,0.0,9.3,6.89,6.9,7.291666667,8.616666667,10.0,0,Masculino,3K,Pública,3K,0,2024,0
12.0,1,8.3167,8.5,9.9,5.02,6.9,8.125,9.01,10.0,0,Feminino,3N,Pública,3N,0,2024,0
12.0,1,7.309333333,0.0,9.2,6.27,7.8,7.916666667,7.503333333,10.0,0,Masculino,3N,Pública,3N,0,2024,0
16.0,3,3.032,0.0,0.0,5.0,3.7,0.0,3.792,5.0,0,Feminino,5G,Pública,5G,1,2024,1
12.0,1,8.0037,8.5,8.4,7.52,7.3,7.708333333,7.503333333,10.0,0,Masculino,3N,Pública,3N,0,2024,0
13.0,1,8.316133333,7.9,9.9,5.02,9.1,8.75,9.286666667,5.0,0,Feminino,3K,Privada - Programa de Apadrinhamento,3K,0,2024,0
11.0,1,8.600033333,9.5,10.0,6.27,6.5,8.541666667,9.343333333,10.0,0,Feminino,3U,Pública,3U,0,2024,0
12.0,1,7.769866667,8.0,9.7,3.76,6.8,7.916666667,7.56,10.0,0,Masculino,3U,Pública,3U,0,2024,0
14.0,1,6.7351,6.8,8.1,2.52,6.6,8.333333333,7.723333333,5.0,0,Feminino,3R,Pública,3R,1,2024,1
11.0,1,8.743366667,9.5,9.8,6.27,6.5,9.375,9.843333333,10.0,0,Feminino,3P,Pública,3P,0,2024,0
12.0,1,7.6647,8.5,9.1,5.64,5.3,8.125,7.79,10.0,0,Masculino,3P,Pública,3P,0,2024,0
12.0,1,7.703533333,4.7,8.7,7.52,7.3,7.708333333,7.62,10.0,0,Feminino,2P,Pública,2P,0,2024,0
13.0,1,7.2757,9.0,8.8,7.52,5.9,7.708333333,7.113333333,5.0,0,Feminino,3L,Pública,3L,0,2024,1
12.0,1,9.175033333,9.0,10.0,7.52,10.0,8.541666667,8.343333333,10.0,0,Feminino,3P,Pública,3P,0,2024,0
16.0,3,6.445933333,8.8,7.0,6.26,5.3,7.5,6.2075,5.0,0,Feminino,3A,Pública,3A,1,2024,1
15.0,1,6.689583333,9.6,8.8,6.26,3.7,7.1875,6.965,5.0,0,Feminino,3C,Pública,3C,1,2024,1
15.0,1,7.072983333,8.3,8.3,6.26,6.7,7.1875,7.0075,5.0,0,Feminino,3B,Pública,3B,1,2024,1
15.0,1,7.410108333,8.3,9.8,2.52,7.2,7.96875,8.1725,5.0,0,Feminino,4A,Pública,4A,1,2024,1
17.0,3,6.319141667,8.8,7.1,5.0,4.2,7.34375,7.215,5.0,0,Feminino,5A,Pública,5A,1,2024,1
17.0,1,7.076008333,9.2,9.8,2.52,6.7,7.96875,7.835,2.5,0,Masculino,4C,Pública,4C,1,2024,1
13.0,1,7.829958333,7.5,9.5,2.52,8.3,7.65625,7.545,10.0,0,Feminino,4C,Pública,4C,0,2024,0
15.0,3,7.968658333,7.9,10.0,7.52,7.2,7.65625,8.63,5.0,0,Feminino,4A,Privada - Programa de Apadrinhamento,4A,1,2024,0
14.0,1,7.701125,9.6,9.3,5.63,5.1,7.65625,7.67,10.0,0,Masculino,3G,Pública,3G,1,2024,0
15.0,1,7.821633333,9.2,9.2,5.63,8.0,7.5,8.2925,5.0,0,Feminino,4F,Pública,4F,1,2024,1
13.0,1,7.340775,8.3,9.2,2.52,5.3,7.96875,7.7925,10.0,0,Feminino,4F,Pública,4F,0,2024,0
15.0,1,7.086633333,9.2,8.8,6.26,5.7,7.5,7.0025,5.0,0,Masculino,3H,Pública,3H,1,2024,1
18.0,3,6.433075,6.7,7.6,5.0,4.7,7.96875,7.5475,5.0,0,Feminino,5A,Pública,5A,1,2024,1
14.0,1,6.636166667,9.6,8.7,2.52,2.7,6.875,7.2575,10.0,0,Masculino,3I,Pública,3I,1,2024,1
14.0,1,7.44215,8.3,8.5,3.77,6.0,7.8125,7.7525,10.0,0,Feminino,4M,Pública,4M,0,2024,0
15.0,1,7.749391667,8.8,9.3,7.52,7.2,7.65625,7.75,5.0,0,Masculino,4M,Pública,4M,0,2024,1
13.0,1,7.880716667,9.2,9.1,5.0,7.3,7.1875,7.2925,10.0,0,Feminino,3L,Pública,3L,0,2024,0
16.0,1,7.307858333,8.3,9.6,7.52,4.8,7.65625,7.9175,5.0,0,Feminino,4M,Pública,4M,1,2024,1
14.0,1,5.886625,0.0,8.8,2.52,3.5,7.65625,7.045,10.0,0,Feminino,3N,Pública,3N,1,2024,1
15.0,1,7.213625,7.5,9.5,5.0,6.3,7.03125,8.0025,5.0,0,Feminino,4N,Pública,4N,1,2024,1
15.0,1,6.874683333,8.8,7.7,7.52,5.9,7.1875,6.5775,5.0,0,Masculino,3P,Pública,3P,1,2024,1
15.0,1,7.856033333,7.9,8.4,5.0,8.7,8.75,8.88,5.0,0,Masculino,4R,Pública,4R,1,2024,1
17.0,1,7.030108333,8.3,7.8,2.52,6.7,8.59375,8.46,5.0,0,Feminino,5A,Pública,5A,1,2024,1
15.0,1,7.67285,8.8,9.7,2.52,6.0,7.8125,8.1225,10.0,0,Masculino,5D,Pública,5D,0,2024,0
16.0,1,7.333591667,9.2,8.7,2.52,6.8,8.90625,8.3375,5.0,0,Feminino,5B,Pública,5B,0,2024,1
14.0,1,8.881483333,8.3,9.3,7.52,8.2,9.6875,9.17,10.0,0,Masculino,5C,Privada - Programa de Apadrinhamento,5C,0,2024,0
15.0,1,8.345491667,10.0,9.9,2.52,7.2,8.90625,8.88,10.0,0,Feminino,5C,Pública,5C,0,2024,0
17.0,1,7.066475,8.8,9.3,2.52,5.7,7.96875,8.2125,5.0,0,Masculino,5D,Pública,5D,1,2024,1
15.0,1,6.971266667,8.8,8.3,2.52,4.8,7.5,7.3375,10.0,0,Feminino,5B,Pública,5B,0,2024,1
17.0,1,7.381566667,8.3,8.3,5.0,7.3,8.125,8.045,5.0,0,Masculino,5F,Pública,5F,1,2024,1
16.0,1,0.0,9.6,9.4,0.0,6.4,7.8125,7.5875,5.0,1,Feminino,5G,Pública,5G,1,2024,1
16.0,1,0.0,8.8,9.0,0.0,6.1,7.8125,7.3775,5.0,1,Feminino,5G,Pública,5G,1,2024,1
16.0,3,0.0,6.7,0.0,2.52,0.0,0.0,0.0,10.0,1,Feminino,7E,Privada - Programa de Apadrinhamento,7E,0,2024,0
15.0,1,6.018083333,0.0,7.8,5.0,4.1,7.1875,7.13,10.0,0,Feminino,4L,Pública,4L,1,2024,1
18.0,2,5.677291667,0.0,8.3,2.52,5.4,8.28125,8.0025,2.5,0,Feminino,5N,Pública,5N,1,2024,1
17.0,1,7.515233333,8.3,9.4,6.26,6.7,7.5,7.9625,5.0,0,Feminino,5A,Pública,5A,1,2024,1
18.0,1,7.024933333,6.7,9.1,5.0,6.2,6.875,8.0875,5.0,0,Masculino,5D,Concluiu o 3º EM,5D,1,2024,1
19.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1,Feminino,8E,Privada *Parcerias com Bolsa 100%,8E,0,2024,0
16.0,1,5.711166667,0.0,6.4,5.0,4.0,7.5,6.8725,10.0,0,Feminino,5N,Pública,5N,1,2024,1
16.0,1,8.378008333,9.2,9.6,3.77,7.8,8.59375,8.7575,10.0,0,Masculino,5N,Pública,5N,1,2024,0
17.0,1,7.487841667,9.2,10.0,2.52,7.2,7.96875,7.8775,5.0,0,Feminino,6L,Privada - Programa de Apadrinhamento,6L,0,2024,1
16.0,1,7.58235,8.8,9.0,5.0,5.5,7.8125,7.63,10.0,0,Feminino,5M,Pública,5M,1,2024,1
17.0,3,6.811875,6.3,8.8,5.0,6.0,7.34375,7.4625,5.0,0,Feminino,5A,Pública,5A,1,2024,1
17.0,1,7.171083333,9.6,9.4,5.0,4.7,7.8125,8.09,5.0,0,Feminino,6L,Pública,6L,0,2024,1
17.0,1,8.378666667,9.6,9.8,6.89,7.4,7.5,7.6725,10.0,0,Masculino,7A,Pública,7A,0,2024,0
20.0,1,7.7105,9.6,9.0,5.63,7.9,7.5,7.795,5.0,0,Feminino,8F,Privada *Parcerias com Bolsa 100%,8F,0,2024,1
18.0,1,6.46725,0.0,9.0,5.0,6.8,7.8125,7.63,5.0,0,Feminino,6L,Concluiu o 3º EM,6L,1,2024,1
23.0,1,8.027466667,9.2,9.1,6.26,8.7,8.0,8.09,5.0,0,Feminino,8F,Concluiu o 3º EM,8F,0,2024,0
21.0,1,7.5524,8.3,9.4,5.0,8.0,7.125,7.6325,5.0,0,Masculino,8F,Concluiu o 3º EM,8F,0,2024,1
19.0,3,0.0,7.5,0.0,2.52,0.0,0.0,0.0,5.0,1,Feminino,8F,Privada *Parcerias com Bolsa 100%,8F,0,2024,1
17.0,3,0.0,9.2,0.0,7.52,0.0,0.0,0.0,10.0,1,Feminino,7E,Privada *Parcerias com Bolsa 100%,7E,0,2024,0
17.0,3,0.0,9.2,0.0,2.52,0.0,0.0,0.0,10.0,1,Feminino,7E,Privada - Programa de Apadrinhamento,7E,0,2024,1
18.0,3,0.0,7.5,0.0,2.52,0.0,0.0,0.0,10.0,1,Feminino,7E,Privada - Programa de Apadrinhamento,7E,0,2024,0
17.0,3,0.0,8.3,0.0,7.52,0.0,0.0,0.0,10.0,1,Feminino,7E,Privada - Programa de Apadrinhamento,7E,0,2024,1
18.0,3,6.068333333,0.0,9.4,5.0,5.7,6.875,6.8375,5.0,0,Masculino,6A,Privada - Programa de Apadrinhamento,6A,1,2024,1
17.0,3,0.0,0.0,0.0,2.52,0.0,0.0,0.0,10.0,1,Feminino,7E,Privada - Programa de Apadrinhamento,7E,0,2024,0
23.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1,Masculino,9,Privada,9,0,2024,1
22.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1,Masculino,9,Privada,9,0,2024,1
23.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1,Feminino,9,Privada,9,0,2024,1
21.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1,Feminino,8A,Privada,8A,0,2024,1
22.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1,Masculino,9,Privada,9,0,2024,1
22.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1,Feminino,8A,Privada,8A,0,2024,1
22.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1,Feminino,9,Privada *Parcerias com Bolsa 100%,9,0,2024,0
22.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1,Feminino,9,Privada,9,0,2024,1
21.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1,Feminino,8B,Privada - Pagamento por *Empresa Parceira,8B,0,2024,0
21.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1,Masculino,8B,Privada,8B,0,2024,0
21.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1,Feminino,8B,Privada,8B,0,2024,0
20.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1,Feminino,8B,Privada,8B,0,2024,0
21.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1,Feminino,8B,Privada,8B,0,2024,0
21.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1,Masculino,8B,Privada,8B,0,2024,0
21.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1,Feminino,8B,Privada,8B,0,2024,0
21.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1,Masculino,8B,Privada,8B,0,2024,0
11.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1,Masculino,8B,Privada,8B,0,2024,0
17.0,2,6.989633333,9.2,7.7,5.0,5.8,8.125,7.835,5.0,0,Feminino,6A,Privada,6A,1,2024,1
21.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1,Masculino,8B,Privada - Pagamento por *Empresa Parceira,8B,0,2024,0
21.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1,Feminino,8B,Privada,8B,0,2024,0
22.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1,Feminino,9,Privada,9,0,2024,1
24.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1,Feminino,8D,Privada,8D,0,2024,0
20.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1,Masculino,9,Privada,9,0,2024,1
20.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1,Masculino,8D,Privada,8D,0,2024,0
19.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1,Feminino,8D,Privada,8D,0,2024,0
19.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1,Masculino,8D,Privada,8D,0,2024,0
25.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1,Masculino,9,Privada,9,0,2024,1
20.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1,Feminino,8D,Privada,8D,0,2024,0
20.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1,Masculino,9,Privada,9,0,2024,1
20.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1,Feminino,8D,Privada,8D,0,2024,0
20.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1,Feminino,8D,Privada,8D,0,2024,0
21.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1,Feminino,8D,Privada *Parcerias com Bolsa 100%,8D,0,2024,0
21.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1,Feminino,8D,Privada,8D,0,2024,0
21.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1,Masculino,8D,Pública,8D,0,2024,1
20.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1,Feminino,9,Privada,9,0,2024,1
23.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1,Feminino,9,Privada,9,0,2024,1
20.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1,Masculino,9,Privada,9,0,2024,1
